ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,A,000,NA,2,111518,152044,BF,000,241017
ID,task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
000000,lettersN,LN_E_01,A,A,Ñ,H,NA,A,NA,NA,NA,NA,0,A,NA,0,1,0,1,NA,NA,NA,2
000000,lettersN,LN_T_19,W,W,M,G,NA,W,NA,NA,NA,NA,2,W,NA,0,1,1,1,G,False,1.555487,2
000000,lettersN,LN_T_01,B,B,R,N,NA,B,NA,NA,NA,NA,2,B,NA,0,1,2,1,N,False,1.37125,2
000000,lettersN,LN_T_03,D,D,B,K,NA,D,NA,NA,NA,NA,2,D,NA,0,1,3,0,D,True,0.7513657,2
000000,lettersN,LN_T_10,M,M,Z,T,NA,M,NA,NA,NA,NA,2,M,NA,0,1,4,0,T,False,1.443676,2
000000,lettersN,LN_T_18,V,V,M,F,NA,V,NA,NA,NA,NA,2,V,NA,0,1,5,2,V,True,0.6200142,2
000000,lettersN,LN_T_02,C,C,Q,J,NA,C,NA,NA,NA,NA,2,C,NA,0,1,6,2,Q,False,0.5563087,2
000000,lettersN,LN_T_06,H,H,L,P,NA,H,NA,NA,NA,NA,2,H,NA,0,1,7,2,P,False,0.5489922,2
000000,lettersN,LN_T_08,K,K,X,S,NA,K,NA,NA,NA,NA,2,K,NA,0,1,8,2,S,False,0.5328789,2
000000,lettersN,LN_T_14,Q,Q,B,S,NA,Q,NA,NA,NA,NA,2,Q,NA,0,1,9,0,Q,True,0.4885864,2
000000,lettersN,LN_T_09,L,L,J,R,NA,L,NA,NA,NA,NA,2,L,NA,0,1,10,2,R,False,0.4995537,2
000000,lettersN,LN_T_22,Z,Z,N,T,NA,Z,NA,NA,NA,NA,2,Z,NA,0,1,11,2,T,False,0.6155968,2
000000,lettersN,LN_T_17,T,T,J,N,NA,T,NA,NA,NA,NA,2,T,NA,0,1,12,0,T,True,0.5520515,2
000000,lettersN,LN_T_16,S,S,Z,Y,NA,S,NA,NA,NA,NA,2,S,NA,0,1,13,0,S,True,0.5358658,2
000000,lettersN,LN_T_21,Y,Y,V,D,NA,Y,NA,NA,NA,NA,2,Y,NA,0,1,14,0,Y,True,1.116581,2
000000,lettersN,LN_T_05,G,G,Q,L,NA,G,NA,NA,NA,NA,2,G,NA,0,1,15,0,Q,False,0.5474701,2
000000,lettersN,LN_T_11,N,N,K,D,NA,N,NA,NA,NA,NA,2,N,NA,0,1,16,2,D,False,0.4677582,2
000000,lettersN,LN_T_07,J,J,Y,C,NA,J,NA,NA,NA,NA,2,J,NA,0,1,17,2,Y,False,0.4597092,2
000000,lettersN,LN_T_20,X,X,K,L,NA,X,NA,NA,NA,NA,2,X,NA,0,1,18,1,X,True,0.5187988,2
000000,lettersN,LN_T_15,R,R,P,C,NA,R,NA,NA,NA,NA,2,R,NA,0,1,19,2,C,False,0.5080109,2
000000,lettersN,LN_T_12,Ñ,Ñ,M,B,NA,Ñ,NA,NA,NA,NA,2,Ñ,NA,0,1,20,0,B,False,0.475132,2
000000,lettersN,LN_T_04,F,F,P,S,NA,F,NA,NA,NA,NA,2,F,NA,0,1,21,1,F,True,0.4517899,2
000000,lettersN,LN_T_13,P,P,R,X,NA,P,NA,NA,NA,NA,2,P,NA,0,1,22,2,R,False,0.6595192,2
